,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_score,precision,recall,specificity
99,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,50,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.829,0.903,0.823,1.0,0.159
100,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,50,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.833,0.903,0.841,0.976,0.275
101,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,50,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.839,0.907,0.84,0.987,0.262
102,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,50,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.833,0.903,0.836,0.983,0.246
103,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,100,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.828,0.902,0.824,0.998,0.165
104,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,100,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.819,0.898,0.816,0.998,0.121
105,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,100,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.829,0.903,0.824,0.998,0.169
106,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,100,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.838,0.906,0.841,0.983,0.269
107,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,100,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.842,0.908,0.845,0.981,0.298
108,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.835,0.904,0.838,0.981,0.261
109,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.823,0.9,0.82,0.996,0.143
110,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.823,0.9,0.819,0.999,0.136
111,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.83,0.903,0.826,0.996,0.179
112,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.838,0.906,0.842,0.982,0.275
113,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.841,0.908,0.843,0.983,0.283
114,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.843,0.909,0.843,0.985,0.285
115,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.832,0.904,0.829,0.995,0.194
116,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.825,0.901,0.821,0.998,0.148
117,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.837,0.907,0.83,1.0,0.198
118,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.839,0.907,0.841,0.984,0.273
119,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.843,0.909,0.849,0.977,0.32
120,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.842,0.908,0.843,0.984,0.285
