,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
98,Multinomial Naive Bayes,active_learning,False,50,True,"[0.6, 0.2, 0.2]",4418,1471,1476,0.962,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
99,Multinomial Naive Bayes,active_learning,False,50,True,"[0.8, 0.1, 0.1]",5891,735,739,0.959,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
100,Multinomial Naive Bayes,active_learning,False,50,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.964,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
101,Multinomial Naive Bayes,active_learning,False,50,False,"[0.6, 0.2, 0.2]",4418,1471,1476,0.962,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
102,Multinomial Naive Bayes,active_learning,False,50,False,"[0.8, 0.1, 0.1]",5891,735,739,0.96,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
103,Multinomial Naive Bayes,active_learning,False,100,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.955,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
104,Multinomial Naive Bayes,active_learning,False,100,True,"[0.6, 0.2, 0.2]",4418,1471,1476,0.955,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
105,Multinomial Naive Bayes,active_learning,False,100,True,"[0.8, 0.1, 0.1]",5891,735,739,0.948,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
106,Multinomial Naive Bayes,active_learning,False,100,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.956,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
107,Multinomial Naive Bayes,active_learning,False,100,False,"[0.6, 0.2, 0.2]",4418,1471,1476,0.957,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
108,Multinomial Naive Bayes,active_learning,False,100,False,"[0.8, 0.1, 0.1]",5891,735,739,0.949,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
109,Multinomial Naive Bayes,active_learning,False,300,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.962,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
110,Multinomial Naive Bayes,active_learning,False,300,True,"[0.6, 0.2, 0.2]",4418,1471,1476,0.959,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
111,Multinomial Naive Bayes,active_learning,False,300,True,"[0.8, 0.1, 0.1]",5891,735,739,0.961,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
112,Multinomial Naive Bayes,active_learning,False,300,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.964,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
113,Multinomial Naive Bayes,active_learning,False,300,False,"[0.6, 0.2, 0.2]",4418,1471,1476,0.957,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
114,Multinomial Naive Bayes,active_learning,False,300,False,"[0.8, 0.1, 0.1]",5891,735,739,0.96,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
115,Multinomial Naive Bayes,active_learning,False,600,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.967,0.958,0.958,0.326,0.938,0.958,0.32,0.919,0.958,0.333,0.958
116,Multinomial Naive Bayes,active_learning,False,600,True,"[0.6, 0.2, 0.2]",4418,1471,1476,0.954,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
117,Multinomial Naive Bayes,active_learning,False,600,True,"[0.8, 0.1, 0.1]",5891,735,739,0.966,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
118,Multinomial Naive Bayes,active_learning,False,600,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.967,0.958,0.958,0.326,0.938,0.958,0.32,0.919,0.958,0.333,0.958
119,Multinomial Naive Bayes,active_learning,False,600,False,"[0.6, 0.2, 0.2]",4418,1471,1476,0.951,0.957,0.957,0.326,0.937,0.957,0.319,0.918,0.957,0.333,0.957
120,Multinomial Naive Bayes,active_learning,False,600,False,"[0.8, 0.1, 0.1]",5891,735,739,0.966,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
121,Random Forest Classifier,random_sampling,True,0,True,"[0.5, 0.25, 0.25]",207,102,108,0.572,0.546,0.546,0.536,0.536,0.546,0.536,0.536,0.546,0.546,0.546
122,Random Forest Classifier,random_sampling,True,0,True,"[0.6, 0.2, 0.2]",249,81,87,0.46,0.563,0.563,0.555,0.555,0.563,0.552,0.552,0.563,0.563,0.563
123,Random Forest Classifier,random_sampling,True,0,True,"[0.8, 0.1, 0.1]",333,39,45,0.626,0.6,0.6,0.571,0.571,0.6,0.625,0.625,0.6,0.6,0.6
124,Random Forest Classifier,random_sampling,True,0,False,"[0.5, 0.25, 0.25]",207,102,108,0.358,0.556,0.556,0.526,0.526,0.556,0.516,0.516,0.556,0.556,0.556
125,Random Forest Classifier,random_sampling,True,0,False,"[0.6, 0.2, 0.2]",249,81,87,0.52,0.54,0.54,0.505,0.505,0.54,0.502,0.502,0.54,0.54,0.54
126,Random Forest Classifier,random_sampling,True,0,False,"[0.8, 0.1, 0.1]",333,39,45,0.609,0.467,0.467,0.428,0.428,0.467,0.415,0.415,0.467,0.467,0.467
127,Random Forest Classifier,random_sampling,True,50,True,"[0.5, 0.25, 0.25]",207,102,108,0.484,0.528,0.528,0.511,0.511,0.528,0.502,0.502,0.528,0.528,0.528
