,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
77,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
78,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
79,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9582,0.9582,0.32780000000000004,0.9381999999999999,0.9582,0.3858,0.9234,0.9582,0.33399999999999996,0.9582
80,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.6196,0.9388,0.959,0.341,0.959
81,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
82,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.326,0.9377999999999999,0.9578,0.319,0.9188000000000001,0.9578,0.333,0.9578
83,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
84,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
85,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.958,0.958,0.3296,0.9381999999999998,0.958,0.37479999999999997,0.9226000000000001,0.958,0.335,0.958
86,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9586,0.9586,0.3356,0.9385999999999999,0.9586,0.5194,0.9318,0.9586,0.3378,0.9586
87,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
88,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9581999999999999,0.9581999999999999,0.3278,0.9381999999999999,0.9581999999999999,0.38580000000000003,0.9234,0.9581999999999999,0.334,0.9581999999999999
89,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9587999999999999,0.9587999999999999,0.33880000000000005,0.9388,0.9587999999999999,0.5862,0.9363999999999999,0.9587999999999999,0.33940000000000003,0.9587999999999999
90,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
91,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.958,0.958,0.33120000000000005,0.9383999999999999,0.958,0.3792,0.923,0.958,0.3358,0.958
92,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9587999999999999,0.9587999999999999,0.33880000000000005,0.9388,0.9587999999999999,0.5862,0.9364000000000001,0.9587999999999999,0.33940000000000003,0.9587999999999999
93,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
94,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9583999999999999,0.9583999999999999,0.33819999999999995,0.9390000000000001,0.9583999999999999,0.5084,0.9314,0.9583999999999999,0.3396,0.9583999999999999
95,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9587999999999999,0.9587999999999999,0.33880000000000005,0.9388,0.9587999999999999,0.5862,0.9363999999999999,0.9587999999999999,0.33940000000000003,0.9587999999999999
96,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
